0.111,0.013
0.14,0.001
0.096,0.127
0.058,0.092
0.073,0.074
0.077,0.116
0.009,0.133
0.036,0.142
0.056,0.157
0.066,0.187
0.057,0.181
0.054,0.177
0.071,0.174
0.037,0.205
0.058,0.203
0.073,0.159
0.13,0.202
0.113,0.173
0.075,0.171
0.083,0.222
0.09,0.267
0.089,0.268
0.042,0.214
0.062,0.237
0.069,0.262
0.015,0.305
0.018,0.314
0.017,0.292
0.029,0.33
0.08,0.324
0.087,0.314
0.113,0.335
0.11,0.321
0.133,0.357
0.081,0.384
0.135,0.404
0.124,0.361
0.05,0.365
0.05,0.39
0.029,0.45
0.025,0.468
0.023,0.471
0.064,0.474
0.06,0.461
0.024,0.484
0.092,0.453
0.041,0.497
0.028,0.503
0.029,0.523
0.025,0.534
0.048,0.521
0.037,0.543
0.038,0.551
0.026,0.542
0.026,0.554
0.023,0.565
0.026,0.536
0.01,0.549
0.028,0.577
0.034,0.633
0.008,0.579
0.109,0.679
0.004,0.792
0.025,0.8
0.028,0.811
0.026,0.813
0.038,0.805
0.068,0.831
0.032,0.825
0.024,0.847
0.022,0.882
0.027,0.851
0.027,0.858
0.044,0.878
0.047,0.876
0.002,0.873
0.006,0.855
0.124,0.881
0.147,0.919
0.141,0.971
0.021,0.961
0.016,0.982
0.153,0.865
0.237,0.973
0.247,0.986
0.263,0.956
0.273,0.979
0.153,0.968
0.184,0.972
0.181,0.948
0.194,0.958
0.183,0.776
0.174,0.776
0.152,0.768
0.219,0.736
0.185,0.734
0.156,0.727
0.273,0.753
0.272,0.722
0.227,0.721
0.285,0.837
0.274,0.798
0.211,0.639
0.163,0.606
0.216,0.616
0.172,0.57
0.241,0.578
0.221,0.57
0.226,0.684
0.248,0.668
0.221,0.647
0.184,0.666
0.16,0.648
0.192,0.465
0.244,0.449
0.179,0.342
0.203,0.333
0.152,0.295
0.279,0.308
0.233,0.365
0.203,0.393
0.176,0.38
0.173,0.405
0.155,0.19
0.183,0.181
0.197,0.218
0.236,0.183
0.256,0.209
0.275,0.185
0.249,0.147
0.225,0.157
0.285,0.241
0.285,0.237
0.267,0.25
0.235,0.222
0.222,0.227
0.147,0.265
0.171,0.281
0.18,0.262
0.186,0.228
0.167,0.227
0.154,0.225
0.149,0.21
0.213,0.034
0.224,0.117
0.245,0.136
0.261,0.141
0.187,0.141
0.206,0.124
0.212,0.13
0.311,0.175
0.345,0.153
0.325,0.179
0.425,0.182
0.366,0.16
0.368,0.162
0.353,0.251
0.318,0.268
0.295,0.325
0.308,0.303
0.319,0.328
0.371,0.318
0.188,0.088
0.17,0.085
0.149,0.065
0.315,0.049
0.421,0.035
0.361,0.122
0.409,0.128
0.313,0.115
0.302,0.381
0.341,0.397
0.293,0.403
0.377,0.468
0.36,0.494
0.419,0.541
0.376,0.561
0.291,0.506
0.293,0.606
0.303,0.589
0.385,0.677
0.345,0.653
0.402,0.714
0.432,0.779
0.405,0.75
0.38,0.781
0.36,0.818
0.348,0.887
0.345,0.868
0.364,0.854
0.431,0.881
0.397,0.929
0.363,0.929
0.369,0.959
0.366,0.977
0.356,0.985
0.3,0.981
0.358,0.957
0.486,0.917
0.497,0.854
0.475,0.864
0.451,0.87
0.558,0.904
0.506,0.963
0.523,0.95
0.554,0.939
0.45,0.958
0.488,0.955
0.492,0.948
0.482,0.942
0.439,0.925
0.465,0.774
0.488,0.746
0.502,0.753
0.499,0.72
0.564,0.762
0.437,0.835
0.496,0.827
0.457,0.806
0.461,0.791
0.489,0.631
0.491,0.616
0.543,0.588
0.529,0.571
0.528,0.591
0.547,0.693
0.505,0.641
0.482,0.453
0.55,0.479
0.568,0.502
0.558,0.505
0.434,0.537
0.446,0.555
0.45,0.499
0.46,0.32
0.486,0.308
0.547,0.305
0.55,0.377
0.515,0.364
0.575,0.361
0.436,0.41
0.488,0.391
0.463,0.37
0.512,0.188
0.502,0.162
0.498,0.157
0.558,0.272
0.523,0.232
0.51,0.218
0.476,0.259
0.475,0.278
0.479,0.244
0.472,0.235
0.456,0.238
0.458,0.012
0.511,0.064
0.551,0.057
0.521,0.135
0.543,0.12
0.522,0.088
0.446,0.11
0.588,0.068
0.653,0.062
0.655,0.127
0.602,0.127
0.659,0.176
0.705,0.155
0.668,0.218
0.588,0.228
0.592,0.225
0.6,0.25
0.592,0.253
0.59,0.279
0.58,0.282
0.583,0.3
0.579,0.32
0.62,0.3
0.628,0.323
0.637,0.321
0.643,0.303
0.646,0.333
0.64,0.357
0.697,0.328
0.714,0.357
0.699,0.353
0.699,0.422
0.584,0.359
0.623,0.378
0.615,0.399
0.611,0.404
0.596,0.412
0.594,0.436
0.629,0.451
0.648,0.435
