0.121,0.041
0.097,0.064
0.135,0.064
0.131,0.106
0.116,0.079
0.067,0.121
0.058,0.083
0.009,0.147
0.116,0.157
0.137,0.169
0.119,0.2
0.096,0.194
0.081,0.208
0.094,0.205
0.106,0.156
0.14,0.184
0.096,0.195
0.095,0.19
0.077,0.218
0.081,0.242
0.131,0.266
0.132,0.267
0.128,0.276
0.104,0.261
0.092,0.254
0.087,0.258
0.07,0.223
0.14,0.334
0.066,0.732
0.227,0.865
0.249,0.945
0.146,0.721
0.26,0.744
0.195,0.583
0.275,0.616
0.285,0.571
0.275,0.57
0.284,0.683
0.29,0.697
0.274,0.648
0.2,0.455
0.25,0.466
0.248,0.478
0.255,0.567
0.17,0.294
0.251,0.301
0.225,0.292
0.265,0.413
0.182,0.372
0.159,0.169
0.186,0.175
0.198,0.212
0.202,0.18
0.206,0.206
0.196,0.17
0.188,0.147
0.173,0.146
0.17,0.161
0.226,0.26
0.255,0.266
0.265,0.228
0.194,0.282
0.197,0.266
0.187,0.253
0.152,0.224
0.143,0.031
0.2,0.042
0.207,0.006
0.176,0.028
0.177,0.024
0.269,0.067
0.274,0.05
0.228,0.094
0.15,0.083
0.158,0.132
0.17,0.126
0.176,0.114
0.301,0.173
0.318,0.143
0.329,0.156
0.339,0.201
0.314,0.188
0.313,0.187
0.31,0.209
0.376,0.166
0.406,0.167
0.425,0.202
0.373,0.174
0.372,0.173
0.372,0.237
0.398,0.228
0.425,0.271
0.334,0.271
0.213,0.096
0.147,0.139
0.179,0.083
0.175,0.103
0.353,0.029
0.334,0.042
0.303,0.042
0.295,0.068
0.351,0.049
0.358,0.002
0.377,0.009
0.41,0.003
0.373,0.063
0.402,0.026
0.38,0.094
0.408,0.12
0.425,0.122
0.372,0.077
0.331,0.137
0.343,0.462
0.31,0.489
0.287,0.461
0.399,0.481
0.392,0.504
0.416,0.534
0.4,0.548
0.372,0.564
0.402,0.531
0.318,0.517
0.347,0.517
0.346,0.518
0.344,0.537
0.354,0.519
0.335,0.568
0.331,0.574
0.314,0.568
0.305,0.552
0.35,0.629
0.376,0.578
0.391,0.584
0.425,0.585
0.432,0.578
0.429,0.596
0.429,0.597
0.43,0.622
0.43,0.639
0.415,0.621
0.413,0.622
0.398,0.626
0.396,0.627
0.369,0.632
0.368,0.631
0.385,0.63
0.368,0.662
0.369,0.667
0.402,0.649
0.41,0.649
0.417,0.666
0.402,0.67
0.412,0.681
0.416,0.684
0.421,0.697
0.406,0.708
0.398,0.69
0.379,0.695
0.422,0.661
0.346,0.663
0.354,0.655
0.356,0.655
0.351,0.709
0.325,0.698
0.294,0.689
0.312,0.699
0.354,0.718
0.424,0.971
0.318,0.978
0.494,0.87
0.531,0.874
0.529,0.86
0.508,0.948
0.463,0.734
0.511,0.746
0.532,0.749
0.548,0.733
0.517,0.731
0.516,0.716
0.486,0.801
0.439,0.632
0.439,0.585
0.439,0.584
0.435,0.574
0.522,0.634
0.552,0.632
0.545,0.569
0.524,0.629
0.499,0.712
0.519,0.696
0.516,0.682
0.537,0.639
0.436,0.682
0.499,0.478
0.521,0.439
0.503,0.43
0.45,0.463
0.459,0.434
0.435,0.46
0.474,0.421
0.571,0.47
0.552,0.541
0.568,0.54
0.537,0.53
0.543,0.505
0.524,0.521
0.455,0.555
0.478,0.526
0.463,0.522
0.456,0.498
0.483,0.327
0.502,0.29
0.466,0.289
0.465,0.289
0.494,0.34
0.515,0.32
0.566,0.298
0.545,0.335
0.524,0.403
0.57,0.379
0.534,0.372
0.512,0.399
0.642,0.429
0.573,0.396
0.526,0.359
0.466,0.405
0.447,0.202
0.479,0.186
0.484,0.144
0.462,0.162
0.46,0.147
0.503,0.208
0.549,0.21
0.555,0.192
0.534,0.174
0.526,0.161
0.514,0.229
0.504,0.254
0.5,0.231
